c Graph Generator
c
c By: Mark Brockington (brock@cs.ualberta.ca)
c and Joe Culberson (joe@cs.ualberta.ca)
c
c Graph Size:50, Clique Size: 5
c Seed:0, Edge Density:  0.50000
c Depth 0 Hiding
c
c Clique Elements are:
c 34 8 35 24 23 
c
c Estimated Size of Uncompressed File:   0.0MB
c
p edge 50 619
e 3 2
e 4 1
e 4 3
e 5 3
e 5 4
e 6 1
e 6 2
e 6 3
e 6 4
e 6 5
e 7 2
e 8 1
e 8 2
e 8 3
e 8 4
e 9 3
e 9 4
e 9 5
e 9 6
e 9 7
e 10 1
e 10 4
e 10 6
e 11 3
e 11 4
e 11 7
e 11 9
e 12 1
e 12 2
e 12 3
e 12 4
e 12 5
e 12 7
e 12 8
e 12 9
e 12 10
e 13 2
e 13 4
e 13 6
e 13 7
e 13 9
e 13 11
e 14 1
e 14 5
e 14 6
e 14 7
e 14 8
e 14 10
e 14 12
e 14 13
e 15 1
e 15 2
e 15 3
e 15 7
e 15 9
e 15 12
e 15 13
e 15 14
e 16 3
e 16 6
e 16 11
e 16 12
e 16 13
e 16 14
e 17 2
e 17 3
e 17 5
e 17 7
e 17 9
e 17 10
e 17 12
e 17 13
e 17 14
e 17 16
e 18 2
e 18 4
e 18 7
e 18 8
e 18 9
e 18 11
e 18 12
e 18 13
e 18 14
e 18 15
e 18 16
e 19 1
e 19 4
e 19 6
e 19 10
e 19 14
e 19 15
e 19 16
e 19 17
e 19 18
e 20 3
e 20 4
e 20 7
e 20 8
e 20 9
e 20 10
e 20 13
e 20 14
e 20 16
e 20 18
e 20 19
e 21 2
e 21 3
e 21 4
e 21 5
e 21 11
e 21 13
e 21 15
e 21 19
e 21 20
e 22 2
e 22 4
e 22 5
e 22 7
e 22 8
e 22 12
e 22 13
e 22 14
e 22 16
e 22 17
e 22 18
e 22 20
e 22 21
e 23 2
e 23 6
e 23 10
e 23 11
e 23 15
e 23 16
e 23 21
e 23 22
e 24 1
e 24 5
e 24 7
e 24 9
e 24 10
e 24 13
e 24 14
e 24 16
e 24 17
e 24 22
e 25 2
e 25 3
e 25 4
e 25 7
e 25 8
e 25 9
e 25 10
e 25 12
e 25 14
e 25 15
e 25 19
e 25 21
e 25 22
e 25 24
e 26 2
e 26 3
e 26 4
e 26 7
e 26 10
e 26 17
e 26 22
e 26 23
e 26 24
e 26 25
e 27 2
e 27 3
e 27 6
e 27 11
e 27 12
e 27 14
e 27 16
e 27 19
e 27 20
e 27 24
e 27 26
e 28 1
e 28 2
e 28 4
e 28 5
e 28 14
e 28 15
e 28 17
e 28 19
e 28 21
e 28 22
e 28 24
e 28 25
e 28 26
e 29 2
e 29 4
e 29 5
e 29 6
e 29 7
e 29 8
e 29 9
e 29 10
e 29 11
e 29 13
e 29 16
e 29 18
e 29 26
e 29 28
e 30 1
e 30 4
e 30 5
e 30 8
e 30 12
e 30 14
e 30 16
e 30 19
e 30 20
e 30 21
e 30 23
e 30 24
e 30 25
e 30 29
e 31 1
e 31 3
e 31 6
e 31 9
e 31 10
e 31 14
e 31 16
e 31 18
e 31 20
e 31 22
e 31 23
e 31 26
e 32 2
e 32 3
e 32 4
e 32 6
e 32 8
e 32 11
e 32 13
e 32 17
e 32 19
e 32 20
e 32 22
e 32 23
e 32 24
e 32 25
e 32 26
e 32 31
e 33 1
e 33 4
e 33 7
e 33 8
e 33 12
e 33 13
e 33 14
e 33 15
e 33 16
e 33 20
e 33 21
e 33 23
e 33 24
e 33 25
e 33 26
e 33 27
e 33 28
e 33 29
e 33 31
e 33 32
e 34 2
e 34 5
e 34 7
e 34 8
e 34 12
e 34 14
e 34 15
e 34 17
e 34 18
e 34 19
e 34 20
e 34 22
e 34 24
e 34 25
e 34 26
e 34 27
e 34 29
e 34 31
e 34 33
e 35 1
e 35 5
e 35 6
e 35 8
e 35 9
e 35 11
e 35 12
e 35 16
e 35 18
e 35 19
e 35 20
e 35 21
e 35 22
e 35 23
e 35 24
e 35 25
e 35 29
e 35 31
e 35 34
e 36 1
e 36 2
e 36 3
e 36 9
e 36 10
e 36 14
e 36 16
e 36 18
e 36 20
e 36 23
e 36 24
e 36 25
e 36 26
e 36 27
e 36 28
e 36 30
e 36 32
e 36 35
e 37 1
e 37 2
e 37 3
e 37 4
e 37 5
e 37 7
e 37 10
e 37 12
e 37 13
e 37 14
e 37 19
e 37 21
e 37 23
e 37 25
e 37 29
e 37 30
e 37 31
e 37 32
e 37 34
e 37 35
e 38 1
e 38 4
e 38 5
e 38 6
e 38 7
e 38 8
e 38 9
e 38 11
e 38 14
e 38 17
e 38 19
e 38 23
e 38 24
e 38 25
e 38 27
e 38 29
e 38 30
e 38 32
e 38 33
e 39 4
e 39 7
e 39 8
e 39 11
e 39 12
e 39 13
e 39 14
e 39 15
e 39 16
e 39 18
e 39 21
e 39 25
e 39 27
e 39 28
e 39 30
e 39 32
e 39 33
e 39 34
e 39 35
e 39 37
e 40 2
e 40 6
e 40 7
e 40 8
e 40 9
e 40 10
e 40 12
e 40 14
e 40 15
e 40 16
e 40 18
e 40 22
e 40 32
e 40 33
e 40 34
e 40 35
e 40 36
e 40 38
e 40 39
e 41 1
e 41 2
e 41 3
e 41 4
e 41 5
e 41 6
e 41 9
e 41 12
e 41 15
e 41 16
e 41 17
e 41 18
e 41 20
e 41 22
e 41 28
e 41 29
e 41 32
e 41 33
e 41 36
e 41 38
e 41 39
e 41 40
e 42 4
e 42 8
e 42 9
e 42 10
e 42 13
e 42 16
e 42 17
e 42 23
e 42 24
e 42 27
e 42 30
e 42 36
e 42 37
e 42 40
e 43 2
e 43 4
e 43 5
e 43 6
e 43 9
e 43 10
e 43 13
e 43 17
e 43 19
e 43 20
e 43 22
e 43 28
e 43 29
e 43 30
e 43 31
e 43 33
e 43 34
e 43 35
e 43 37
e 43 40
e 43 41
e 44 5
e 44 6
e 44 7
e 44 8
e 44 9
e 44 10
e 44 13
e 44 14
e 44 16
e 44 23
e 44 25
e 44 30
e 44 31
e 44 33
e 44 34
e 44 35
e 44 37
e 44 40
e 44 41
e 45 4
e 45 7
e 45 8
e 45 9
e 45 11
e 45 15
e 45 17
e 45 19
e 45 20
e 45 21
e 45 27
e 45 28
e 45 32
e 45 36
e 45 37
e 45 38
e 45 40
e 45 42
e 45 44
e 46 1
e 46 3
e 46 4
e 46 5
e 46 8
e 46 9
e 46 13
e 46 15
e 46 20
e 46 21
e 46 25
e 46 27
e 46 28
e 46 30
e 46 31
e 46 32
e 46 33
e 46 35
e 46 37
e 46 38
e 46 39
e 46 43
e 46 44
e 47 1
e 47 2
e 47 4
e 47 5
e 47 7
e 47 10
e 47 11
e 47 13
e 47 16
e 47 17
e 47 19
e 47 25
e 47 29
e 47 35
e 47 37
e 47 38
e 47 41
e 47 42
e 47 44
e 48 1
e 48 3
e 48 5
e 48 7
e 48 8
e 48 9
e 48 11
e 48 12
e 48 13
e 48 14
e 48 15
e 48 18
e 48 19
e 48 20
e 48 21
e 48 22
e 48 23
e 48 27
e 48 28
e 48 31
e 48 33
e 48 34
e 48 35
e 48 36
e 48 37
e 48 38
e 48 42
e 48 43
e 48 44
e 48 45
e 48 46
e 49 1
e 49 3
e 49 8
e 49 10
e 49 12
e 49 13
e 49 14
e 49 16
e 49 19
e 49 21
e 49 22
e 49 23
e 49 24
e 49 26
e 49 28
e 49 30
e 49 32
e 49 35
e 49 38
e 49 42
e 49 43
e 50 1
e 50 2
e 50 5
e 50 6
e 50 7
e 50 8
e 50 9
e 50 14
e 50 15
e 50 17
e 50 18
e 50 19
e 50 21
e 50 23
e 50 25
e 50 27
e 50 28
e 50 32
e 50 33
e 50 35
e 50 38
e 50 39
e 50 42
e 50 44
e 50 45
e 50 47
e 50 49
