c Graph Generator
c
c By: Mark Brockington (brock@cs.ualberta.ca)
c and Joe Culberson (joe@cs.ualberta.ca)
c
c Graph Size:30, Clique Size: 8
c Seed:0, Edge Density:  0.50000
c Depth 0 Hiding
c
c Clique Elements are:
c 8 24 23 21 6 5 17 22 
c
c Estimated Size of Uncompressed File:   0.0MB
c
p edge 30 226
e 2 1
e 4 1
e 4 2
e 4 3
e 5 1
e 5 3
e 6 3
e 6 5
e 7 5
e 7 6
e 8 6
e 9 2
e 9 4
e 9 5
e 9 6
e 9 7
e 9 8
e 10 1
e 10 4
e 10 5
e 10 6
e 11 2
e 11 3
e 11 7
e 11 9
e 11 10
e 12 3
e 12 11
e 13 1
e 13 3
e 13 5
e 13 9
e 13 10
e 13 11
e 14 1
e 14 5
e 14 12
e 14 13
e 15 1
e 15 3
e 15 4
e 15 5
e 15 7
e 15 8
e 15 10
e 15 11
e 15 12
e 16 2
e 16 3
e 16 4
e 16 6
e 16 12
e 16 13
e 16 15
e 17 7
e 17 10
e 18 1
e 18 4
e 18 6
e 18 7
e 18 9
e 18 10
e 18 12
e 18 14
e 18 16
e 19 2
e 19 7
e 19 8
e 19 10
e 19 12
e 19 14
e 19 15
e 19 18
e 20 1
e 20 2
e 20 3
e 20 4
e 20 5
e 20 7
e 20 9
e 20 10
e 20 11
e 20 14
e 20 16
e 20 17
e 21 1
e 21 2
e 21 3
e 21 4
e 21 6
e 21 7
e 21 8
e 21 11
e 21 16
e 21 17
e 21 20
e 22 1
e 22 2
e 22 3
e 22 6
e 22 7
e 22 9
e 22 11
e 22 13
e 22 14
e 22 17
e 22 18
e 22 19
e 22 20
e 22 21
e 23 1
e 23 2
e 23 3
e 23 4
e 23 5
e 23 6
e 23 7
e 23 8
e 23 9
e 23 10
e 23 12
e 23 13
e 23 14
e 23 15
e 23 18
e 23 22
e 24 1
e 24 2
e 24 3
e 24 4
e 24 6
e 24 7
e 24 9
e 24 11
e 24 12
e 24 13
e 24 15
e 24 16
e 24 17
e 24 18
e 24 19
e 24 20
e 24 22
e 24 23
e 25 6
e 25 7
e 25 8
e 25 9
e 25 10
e 25 12
e 25 14
e 25 15
e 25 16
e 25 17
e 25 18
e 25 21
e 25 22
e 25 23
e 25 24
e 26 2
e 26 4
e 26 5
e 26 6
e 26 7
e 26 8
e 26 9
e 26 11
e 26 13
e 26 15
e 26 18
e 26 21
e 27 2
e 27 3
e 27 4
e 27 6
e 27 7
e 27 8
e 27 11
e 27 12
e 27 13
e 27 14
e 27 20
e 27 21
e 27 22
e 27 25
e 28 3
e 28 4
e 28 8
e 28 9
e 28 12
e 28 14
e 28 15
e 28 18
e 28 20
e 28 21
e 28 22
e 28 24
e 28 26
e 28 27
e 29 1
e 29 4
e 29 6
e 29 7
e 29 8
e 29 12
e 29 15
e 29 16
e 29 18
e 29 19
e 29 24
e 29 26
e 29 28
e 30 6
e 30 7
e 30 9
e 30 12
e 30 13
e 30 14
e 30 15
e 30 17
e 30 21
e 30 23
e 30 26
e 30 27
e 30 28
e 30 29
